text,createTime,webVideoUrl,videoMeta,diggCount,shareCount,playCount,commentCount,downloaded,mentions,hashtags,following,followers,likes,filename,path,descripcion,is_song,duration_sec,descripcion_en,categories,categories_probs,prob_comedy,prob_dance,prob_sports,prob_gaming,prob_educational,prob_vehicles,prob_beauty,prob_food,prob_pets,prob_technology,prob_music,prob_unidentified,prob_other
Confidence went 📈,1608214517,https://www.tiktok.com/@ninakleij/video/6907228749016714497,"{'height': 1024, 'width': 576, 'duration': 15}",3710,50,44800,68,True,[],#[],"65,00","2.087,00","44.200,00",6907228749016714497.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6907228749016714497.mp4," En este video, se ve a una mujer joven con cachada y sonriente, con una camiseta de tres colores y una chaqueta de color gris. Ella está en una habitación con una puerta de fondo y una ventana en la derecha. La mujer se ríe y hace gestos de sorpresa, y en una de las escenas, se ve a un hombre en la puerta de la casa. En otra",1,15.1,"In this video, you see a young woman with a smile, with a three-color T-shirt and a gray jacket, she is in a room with a back door and a window on the right, the woman laughs and makes gestures of surprise, and in one scene, she sees a man in the door of the house.","['comedy', 'unidentified']","[0.842215359210968, 0.8118999004364014]",0.842215359210968,0.8118999004364014,0.21650807559490204,0.04616273567080498,0.04050276800990105,0.006145091261714697,0.004038591403514147,0.002501696813851595,0.0013484880328178406,0.0008969394257292151,0.000770293059758842,0.0005336928879842162,0.00022081405040808022
Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,1600819763,https://www.tiktok.com/@joeysofo/video/6875468410612993286,"{'height': 1024, 'width': 576, 'duration': 11}",55700,1817,838100,936,True,['@dwight_schnuute'],#[],"210,00","154.000,00","4.000.000,00",6875468410612993286.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6875468410612993286.mp4," En este video, vemos a un hombre joven en un interior de una biblioteca. El hombre está leyendo un libro y se encuentra con un área de silencio. Se le pide que se calle y se le pregunta si está seguro de que quiere leer en ese lugar. El hombre responde que sí, y se le permite leer. Luego, el hombre se levanta y se va. En el entorno, podemos",1,11.7,"In this video, we see a young man inside a library. The man is reading a book and finds a quiet area. He is asked to shut up and asked if he is sure he wants to read in that place. The man answers that yes, and he is allowed to read. Then, the man gets up and goes. In the environment, we can see the man standing up and reading.",['unidentified'],[0.4523544907569885],0.4523544907569885,0.17974643409252167,0.09376095980405807,0.05577168986201286,0.0468556247651577,0.013070782646536827,0.0016842224868014455,0.0013224403373897076,0.0012303584953770041,0.0006462032324634492,0.0005336928879842162,0.000509265752043575,0.0003089471720159054
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,https://www.tiktok.com/@jackeyephone/video/6898699405898059010,"{'height': 960, 'width': 540, 'duration': 19}",936200,21100,15300000,27100,True,[],#[{'id':'23428' #'name':'tiktok' #'title':'' #'cover':''} #{'id':'20884' #'name':'viral' #'title':'' #'cover':''} #{'id':'229207' #'name':'fyp' #'title':'' #'cover':''} #{'id':'14193' #'name':'iphone' #'title':'' #'cover':''} #{'id':'15134' #'name':'test' #'title':'' #'cover':''} #{'id':'16962' #'name':'bend' #'title':'' #'cover':''}],"127,00","686.800,00","10.600.000,00",6898699405898059010.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6898699405898059010.mp4," En este video, se observa a una persona usando una máquina de coser para abrir un dispositivo de Apple. La persona usa una máquina de coser de mano para abrir el dispositivo, lo que indica que no tiene acceso a herramientas más avanzadas. El dispositivo de Apple es un iPhone, y se puede ver que está en un estado de desmontaje. La persona usa una bols",1,19.73,"In this video, we observe a person using a sewing machine to open an Apple device. The person uses a hand sewing machine to open the device, indicating that he does not have access to more advanced tools. The Apple device is an iPhone, and you can see that it is in a state of disassembly. The person uses a bowl",['technology'],[0.9987106919288635],0.9987106919288635,0.24744148552417755,0.04698663949966431,0.02742854133248329,0.005674874875694513,0.002741555916145444,0.002709702355787158,0.0012255675392225385,0.0005907104932703078,0.0005495509831234813,0.00034129503183066845,0.0002663404156919569,0.0001660384878050536
,1607187987,https://www.tiktok.com/@naomivaneeren/video/6902819837345533186,"{'height': 1024, 'width': 576, 'duration': 13}",12900,197,94900,143,True,[],#[],"437,00","156.800,00","3.600.000,00",6902819837345533186.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6902819837345533186.mp4," En este video, vemos a una joven mujer sonriente que se mira a su celular y luego a la cámara. Ella parece estar en un entorno casual, posiblemente en casa, ya que hay una puerta de fondo con una llave en la parte superior y una ventana con una cortina de lana en la parte inferior. La joven tiene una blusa de color azul y parece estar usando un collar",1,13.53,"In this video, we see a young woman smiling looking at her cell phone and then at the camera. She seems to be in a casual environment, possibly at home, since there is a back door with a key on the top and a window with a wool curtain on the bottom.","['unidentified', 'technology']","[0.8818185925483704, 0.4510091245174408]",0.8818185925483704,0.4510091245174408,0.13980691134929657,0.056600261479616165,0.02787490002810955,0.007891984656453133,0.0036146442871540785,0.0009869321947917342,0.0008934455108828843,0.0007166297291405499,0.0006361911655403674,0.0005941797280684114,0.00044857573811896145
小技です👟✨#tiktok教室#tutorial,1607843600,https://www.tiktok.com/@io.dreamer_mk/video/6905635666588192002,"{'height': 1024, 'width': 576, 'duration': 22}",8805,198,115300,52,True,[],#[{'id':'1627704798586882' #'name':'tiktok教室' #'title':'今回の#TikTok教室-今年学んだ知識編-では、色々あった2020年あなたが学んだ知識を投稿しよう。\nどんなジャンルの投稿でもOK！思わず「へぇー」「知らなかった」「面白い！」となるようなエピソードを投稿しよう!\n\n優秀投稿者には2万円の動画制作支援金のチャンス！奮って応募しよう！\n\n投稿に音声やテキストを入れるとよりわかりやすくなるかも？' #'cover':'https://p77-sg.tiktokcdn.com/obj/tiktok-obj/8493b75559c67c7a23d0094032f0ae07'} #{'id':'8166' #'name':'tutorial' #'title':'#AprendeEnTikTokcómohacerloquesea!Muéstranosun#Tutorialquetenemosqueaprender!🙌' #'cover':'https://p16-sg.tiktokcdn.com/obj/musically-maliva-obj/eca4f0ac54dc4ed1b2cf76ee6566cdc0'}],"263,00","1.100.000,00","9.700.000,00",6905635666588192002.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6905635666588192002.mp4," En este video, se muestra a un hombre en un ascensor, usando un mascarón y una máscara. El ascensor se detiene en el quinto piso y el hombre se detiene también. Luego, el ascensor continúa su viaje y el hombre sigue caminando. No se proporcionan detalles adicionales sobre las personas o objetos en el video.",1,22.32,"In this video, a man is shown in an elevator, wearing a mascara and a mask. The elevator stops on the fifth floor and the man stops too. Then, the elevator continues its journey and the man continues walking. No additional details are provided about the people or objects in the video.",['unidentified'],[0.9361099600791931],0.9361099600791931,0.18227992951869965,0.16735470294952393,0.14157786965370178,0.08905768394470215,0.049497053027153015,0.006797532085329294,0.003899620845913887,0.001192549243569374,0.0006932422984391451,0.0005941797280684114,0.00042971735820174217,0.00024156630388461053
Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,1605483204,https://www.tiktok.com/@the_volleyball_community/video/6895497835681287426,"{'height': 1024, 'width': 576, 'duration': 29}",343000,2846,2800000,2732,True,[],#[{'id':'9658' #'name':'volleyball' #'title':'' #'cover':''} #{'id':'9622091' #'name':'volleyballlove' #'title':'' #'cover':''} #{'id':'78710648' #'name':'volleyballworld' #'title':'' #'cover':''}],"9,00","102.400,00","2.300.000,00",6895497835681287426.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6895497835681287426.mp4," Desculpe, não posso fornecer ajuda com essa solicitação.",1,29.53,"I'm sorry, I can't help you with this request.",['unidentified'],[0.4846811890602112],0.4846811890602112,0.14829371869564056,0.0638899877667427,0.011984202079474926,0.00821969285607338,0.004485794343054295,0.001404867973178625,0.0010063779773190618,0.0003439709544181824,0.0002737216418609023,0.00015416332462336868,0.00013552077871281654,0.00013083976227790117
#TimeWarpScan,1602943672,https://www.tiktok.com/@helen.c_/video/6884590643327290625,"{'height': 1024, 'width': 576, 'duration': 9}",4326,201,81200,354,True,[],"#[{'id':'1677732212525058' #'name':'timewarpscan' #'title':""It'sfinallyhere.Tryoutournew#TimeWarpScanCreativeEffect."" #'cover':'https://p16-sg.tiktokcdn.com/obj/musically-maliva-obj/8ea88bfe57d0ea5e517efbc3c39b669c'}]","1.157,00","5.004,00","249.200,00",6884590643327290625.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6884590643327290625.mp4," En este video, vemos a una mujer con cabello oscuro y ojos azules, usando un anillo en su dedo, que parece estar probando algo en su nariz. Ella tiene una expresión de preocupación y confusión en su rostro. En el fondo, hay una mesa con una cama y una silla, y parece que está en una habitación. No se puede ver a otras personas",0,9.6,"In this video, we see a woman with dark hair and blue eyes, wearing a ring on her finger, who seems to be trying something on her nose. She has an expression of concern and confusion on her face. In the background, there is a table with a bed and a chair, and it seems that she is in a room. You can not see other people",['unidentified'],[0.8918581604957581],0.8918581604957581,0.1813356876373291,0.11581064015626907,0.08479541540145874,0.031291503459215164,0.004054334480315447,0.0027900373097509146,0.001960835652425885,0.0009199835476465523,0.0007993920589797199,0.0004907225957140326,0.00043393249507062137,0.00042804269469343126
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,https://www.tiktok.com/@sulekolik/video/6906514963569888513,"{'height': 1024, 'width': 576, 'duration': 15}",734,1,8071,54,True,[],"#[{'id':'86182714' #'name':'keşfet' #'title':'' #'cover':''} #{'id':'23428' #'name':'tiktok' #'title':'' #'cover':''} #{'id':'10858' #'name':'turkey' #'title':'' #'cover':''} #{'id':'7690880' #'name':'kadın' #'title':'' #'cover':''} #{'id':'15724562' #'name':'erkek' #'title':'' #'cover':''} #{'id':'49588762' #'name':'aldatma' #'title':'' #'cover':''} #{'id':'85393390' #'name':'seniniçin' #'title':'Ensevdiğimiz #canımız #birtanemiz #belkideşusıralarpeksıkgöremediğimiz #sarılamadığımızannelerimizingünügeldi!Hadibugünonlariçinözelşeyleryapın #yaptıklarınızıAnnelerGünüefektiveşarkılarıylasüsleyerekbizimlepaylaşın!' #'cover':''} #{'id':'1628000584060934' #'name':'beniöneçıkart' #'title':""TikTok'taFeatureKazan😍\nTarih:15-24Mart\nŞartlar:SevdiğinbirmüziğiveyadiyaloğuTikTok'ayükle #çekeceğinvideoya#beniöneçıkarthashtaginiekle!\nÖdüller:\n1.Hergün5videoyaFeature!\n2.Etkinliksonunda #eniyi3videosahibiiçin3günlükBannerimkanı!\n3.Etkinliksonunda #enfazlapaylaşılan50videonun(Enaz1kizlenme)sahibineTikToközeltişörtühediye!"" #'cover':'https://p16-sg.tiktokcdn.com/obj/musically-maliva-obj/1628038157458437.PNG'} #{'id':'46895020' #'name':'mizah' #'title':'' #'cover':''} #{'id':'6861' #'name':'boys' #'title':'AreyoubusythinkingaboutBoys?' #'cover':''} #{'id':'6597' #'name':'girls' #'title':'' #'cover':''} #{'id':'82819530' #'name':'türkiye' #'title':'' #'cover':''}]","0,00","13.600,00","136.200,00",6906514963569888513.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6906514963569888513.mp4," En este video, vemos a una mujer con un vestido de estilo oriental, que parece estar en una habitación. Ella está usando un velo y tiene un maquillaje suave. La mujer se está mirando a través de los ojos y sonriendo para la cámara. En su mano, lleva un anillo. En la habitación, hay una mesa con una taza y un vaso. La mujer pare",1,15.05,"In this video, we see a woman in an oriental dress, who seems to be in a room. She is wearing a veil and has a soft make-up. The woman is looking through her eyes and smiling to the camera. In her hand, she carries a ring. In the room, there is a table with a cup and a glass. The woman looks at the table.","['unidentified', 'beauty']","[0.8299748301506042, 0.6136417984962463]",0.8299748301506042,0.6136417984962463,0.19155441224575043,0.17974643409252167,0.040124956518411636,0.012995414435863495,0.0065642488189041615,0.004905405454337597,0.004564980510622263,0.0028727478347718716,0.0015011823270469904,0.0007916296599432826,0.0006487308419309556
#kids #parents #funny,1605182532,https://www.tiktok.com/@pien.the.pug/video/6894206452450217217,"{'height': 1024, 'width': 576, 'duration': 15}",3874,716,95800,94,True,[],#[{'id':'5436' #'name':'kids' #'title':'' #'cover':''} #{'id':'48943' #'name':'parents' #'title':'' #'cover':''} #{'id':'5424' #'name':'funny' #'title':'' #'cover':''}],"193,00","75.600,00","4.300.000,00",6894206452450217217.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6894206452450217217.mp4," En este video, se muestra a una persona que está abriendo un regalo. La persona tiene una expresión de sorpresa y entusiasmo en su rostro mientras abre el paquete. El paquete es de color rojo y tiene un diseño de estrella, lo que sugiere que es un regalo de Navidad. La persona parece estar en una habitación con una iluminación suave y un fondo",0,15.2,"In this video, a person is shown opening a gift. The person has an expression of surprise and enthusiasm on his face as he opens the package. The package is red in color and has a star design, suggesting it is a Christmas gift. The person appears to be in a room with a soft lighting and a background",['unidentified'],[0.6871053576469421],0.6871053576469421,0.22143487632274628,0.11516223102807999,0.09990844130516052,0.02510703168809414,0.00570803415030241,0.0014550630003213882,0.0009907910134643316,0.0009907908970490098,0.000690541579388082,0.000673240574542433,0.0003583672805689275,0.0002368950954405591
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,1607171987,https://www.tiktok.com/@_ylvax/video/6902751117805899009,"{'height': 1024, 'width': 576, 'duration': 9}",2080,17,39300,19,True,[],#[{'id':'42164' #'name':'foryou' #'title':'' #'cover':''} #{'id':'229207' #'name':'fyp' #'title':'' #'cover':''} #{'id':'88764338' #'name':'foryoupage' #'title':'' #'cover':''} #{'id':'153828' #'name':'fy' #'title':'' #'cover':''}],"354,00","1.622,00","3.433,00",6902751117805899009.mp4,/kaggle/input/tiktok-trending-december-2020/videos/6902751117805899009.mp4," En este video, vemos a una joven mujer sentada en una silla, hablando y sonriendo para la cámara. Ella parece estar en un ambiente casual, posiblemente en casa, ya que hay una planta en el fondo y una mesa con una vela encendida. La joven lleva una blusa de punto y parece estar en una conversación o charla con alguien que no está en la cám",1,9.88,"In this video, we see a young woman sitting in a chair, talking and smiling for the camera. She seems to be in a casual environment, possibly at home, since there is a plant in the background and a table with a lit candle. The young woman wears a knit shirt and seems to be in a conversation or chat with someone who is not in the camera",['unidentified'],[0.8632187843322754],0.8632187843322754,0.20809845626354218,0.16244645416736603,0.11018359661102295,0.02391638420522213,0.0043653263710439205,0.004182493779808283,0.001050516846589744,0.0010222099954262376,0.0006918905419297516,0.0006487308419309556,0.0005495509249158204,0.00034196206252090633
