video_name,transcription,is_song,duration_sec,author_id,followers,following,account_creation,video_creation,likes,comments,shares,engagement_rate,viral,descripcion,categories,categories_probs,,,,,,,,,,,,,
6886060490687106306.mp4,yo!'.,1,13.88,user_00099,22220,8341,11/27/23,5/12/25,891,115,64,4.815481548154815,1,"A man with a beard and a black T-shirt, playing guitar in a room decorated with curtains and a lamp, and a man with a blue shirt and an acoustic guitar playing in a room with curtains and a lamp.","['comedy', 'unidentified', 'music']","[0.8238250017166138, 0.7617157697677612, 0.6156656742095947]",,,,,,,,,,,,,
6886115520425266433.mp4,welkom bij de eerste aflevering van jan-pieter speelt speldjes met de neusaflevering minecraft nou we gaan eerst wat hout hacken om wat tools te maken pak aan nou we zijn nu in de village ik lenen even wat supplies wat zijn ze geleerd hier geleerd her niet meer zo over mijn vader praten jongen van mij'.,0,33.17,user_00091,100083,5005,10/13/24,10/15/25,2005,167,36,2.2061688798297414,0,"We see a man sitting in a chair in front of a computer monitor, with a laptop in his lap. The man seems to be playing a video game, since he has a game screen in front of him and is using a virtual reality game.","['technology', 'gaming', 'unidentified']","[0.9982725381851196, 0.9744104743003845, 0.602441668510437]",,,,,,,,,,,,,
6877179236386376961.mp4,kijk eens naar de video's van de serie 'kantjansaus' op de website van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus is een serie van de nieuwemeester. kantjansaus,0,59.03,user_00147,26324,3742,12/1/20,2/1/25,157,18,7,0.6913842881021122,0,"It shows a person who is preparing a sandwich. She starts by placing a slice of bread in a plate and then adds several layers of sauce and a portion of meat. Then, adds a portion of cheese and a little mayonnaise. Finally, she covers everything with another slice of bread and cuts the sandwich into two pieces.","['food', 'unidentified']","[0.9391365647315979, 0.6938361525535583]",,,,,,,,,,,,,
6886527878100438273.mp4,i'm on some dumb shit i got away what he say he can tell i'm missing no meals come through and fuck him in my automobile let him eat it with his grill he keep telling me to chill he keep telling me it's real that he love my sexy pill he don't like i'm bony he want something he can grab so i pull up in a jag and i hit him'.,1,46.28,user_00151,15425,9121,3/6/25,5/2/25,329,30,20,2.457050243111832,0,The person draws two eyes and one eye on a background screen that looks like it is in a game application. The person also draws a line that looks like a nose and a mouth. In the background you can see a phone screen with a,"['technology', 'unidentified']","[0.9903849959373474, 0.6951311826705933]",,,,,,,,,,,,,
6883894825855274242.mp4,the'.,0,11.8,user_00162,468764,7385,11/20/22,12/16/22,9717,734,226,2.277691972933076,0,"A video game scene shows two main characters, a man and a woman, who appear to be in a game environment. The man is in the center of the screen and appears to be in a defensive position, while the woman is on the right side and appears to be in an attacking position.","['gaming', 'technology', 'unidentified']","[0.9975985884666443, 0.975877583026886, 0.7733019590377808]",,,,,,,,,,,,,
6899116261746281730.mp4,it's too long it's too long it's too long for you to call back and normally i would just forget that except for the fact it was my birthday my stupid birthday'.,1,14.53,user_00130,1906,6654,7/12/25,10/26/25,39,1,2,2.203567681007345,0,We see a woman and a horse in a field surrounded by a fence. The woman is caressing the horse and seems to be talking to him. The horse is gray and seems to be calm and caressed. The woman wears a brown shirt and light-colored pants.,['unidentified'],[0.7296642661094666],,,,,,,,,,,,,
6898350532415540482.mp4,good'.,0,14.1,user_00002,29516,884,8/14/20,2/11/25,642,34,44,2.4393549261417538,0,"The telephone shows an image of a tattooed person with a wave pattern on his arm. The tattooed person appears to be in a painful or uncomfortable situation, as his arm is moving and his expression is painful.","['technology', 'unidentified']","[0.8758400678634644, 0.5513925552368164]",,,,,,,,,,,,,
6880493048011263233.mp4,hey lieve mensen i need to quit i get too many stories and too many of this sort comments and i live with you and i find it hard to hear but wait one thing i am not the pin automaton'.,0,15.03,user_00019,42250,1998,7/12/25,9/14/25,464,45,11,1.2307692307692308,0,"We see a woman with short red hair and a tattoo on her right arm, dressed in a black T-shirt, talking in a room with a door on the right.",['unidentified'],[0.4680003523826599],,,,,,,,,,,,,
6903178284012522754.mp4,"The content of the input audio is 'excuse me, do you mind? can we let go? let go. let go. good boy.'.",0,16.7,user_00010,5481,4157,7/23/19,9/6/24,89,10,2,1.8427294289363256,0,"We see a young woman and a horse in a pen, the woman approaches the horse and gives him a kiss on the nose, then the horse goes away and the woman continues to caress him, the horse seems to be calm and caressed by the woman, the environment is a pen with a gate and a fence separating the woman, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the horse is a horse, the","['comedy', 'unidentified', 'pets']","[0.7704648375511169, 0.5773464441299438, 0.4791761636734009]",,,,,,,,,,,,,
6889856262431837441.mp4,oh stranger shadow mountain fly away shirata shoryo yamaguchi tadaishi tsuki shimakkei yachikido'.,1,14.33,user_00025,7048,8940,1/22/22,1/31/25,35,1,2,0.5391600454029511,0,The environment is a sports field with a volleyball court and a crowd in the background. The children's team is led by a boy wearing a T-shirt with a white shirt.,"['sports', 'comedy', 'unidentified']","[0.9989896416664124, 0.7601168155670166, 0.7488117814064026]",,,,,,,,,,,,,
